season,round,race_name,circuit,driver,team,grid,position,points,status
2010,1,Bahrain Grand Prix,bahrain,alonso,Ferrari,3,1,25.0,Finished
2010,1,Bahrain Grand Prix,bahrain,massa,Ferrari,2,2,18.0,Finished
2010,1,Bahrain Grand Prix,bahrain,hamilton,McLaren,4,3,15.0,Finished
2010,1,Bahrain Grand Prix,bahrain,vettel,Red Bull,1,4,12.0,Finished
2010,1,Bahrain Grand Prix,bahrain,rosberg,Mercedes,5,5,10.0,Finished
2010,1,Bahrain Grand Prix,bahrain,michael_schumacher,Mercedes,7,6,8.0,Finished
2010,1,Bahrain Grand Prix,bahrain,button,McLaren,8,7,6.0,Finished
2010,1,Bahrain Grand Prix,bahrain,webber,Red Bull,6,8,4.0,Finished
2010,1,Bahrain Grand Prix,bahrain,liuzzi,Force India,12,9,2.0,Finished
2010,1,Bahrain Grand Prix,bahrain,barrichello,Williams,11,10,1.0,Finished
2010,1,Bahrain Grand Prix,bahrain,kubica,Renault,9,11,0.0,Finished
2010,1,Bahrain Grand Prix,bahrain,sutil,Force India,10,12,0.0,Finished
2010,1,Bahrain Grand Prix,bahrain,alguersuari,Toro Rosso,18,13,0.0,Finished
2010,1,Bahrain Grand Prix,bahrain,hulkenberg,Williams,13,14,0.0,+1 Lap
2010,1,Bahrain Grand Prix,bahrain,kovalainen,Lotus,21,15,0.0,+2 Laps
2010,1,Bahrain Grand Prix,bahrain,buemi,Toro Rosso,15,16,0.0,Electrical
2010,1,Bahrain Grand Prix,bahrain,trulli,Lotus,20,17,0.0,Hydraulics
2010,1,Bahrain Grand Prix,bahrain,rosa,Sauber,14,\N,0.0,Hydraulics
2010,1,Bahrain Grand Prix,bahrain,bruno_senna,HRT,23,\N,0.0,Overheating
2010,1,Bahrain Grand Prix,bahrain,glock,Virgin,19,\N,0.0,Gearbox
2010,1,Bahrain Grand Prix,bahrain,petrov,Renault,17,\N,0.0,Suspension
2010,1,Bahrain Grand Prix,bahrain,kobayashi,Sauber,16,\N,0.0,Hydraulics
2010,1,Bahrain Grand Prix,bahrain,grassi,Virgin,22,\N,0.0,Hydraulics
2010,1,Bahrain Grand Prix,bahrain,chandhok,HRT,24,\N,0.0,Accident
2010,2,Australian Grand Prix,albert_park,button,McLaren,4,1,25.0,Finished
2010,2,Australian Grand Prix,albert_park,kubica,Renault,9,2,18.0,Finished
2010,2,Australian Grand Prix,albert_park,massa,Ferrari,5,3,15.0,Finished
2010,2,Australian Grand Prix,albert_park,alonso,Ferrari,3,4,12.0,Finished
2010,2,Australian Grand Prix,albert_park,rosberg,Mercedes,6,5,10.0,Finished
2010,2,Australian Grand Prix,albert_park,hamilton,McLaren,11,6,8.0,Finished
2010,2,Australian Grand Prix,albert_park,liuzzi,Force India,13,7,6.0,Finished
2010,2,Australian Grand Prix,albert_park,barrichello,Williams,8,8,4.0,Finished
2010,2,Australian Grand Prix,albert_park,webber,Red Bull,2,9,2.0,Finished
2010,2,Australian Grand Prix,albert_park,michael_schumacher,Mercedes,7,10,1.0,Finished
2010,2,Australian Grand Prix,albert_park,alguersuari,Toro Rosso,17,11,0.0,Finished
2010,2,Australian Grand Prix,albert_park,rosa,Sauber,14,12,0.0,Finished
2010,2,Australian Grand Prix,albert_park,kovalainen,Lotus,19,13,0.0,+2 Laps
2010,2,Australian Grand Prix,albert_park,chandhok,HRT,22,14,0.0,+5 Laps
2010,2,Australian Grand Prix,albert_park,glock,Virgin,23,\N,0.0,Suspension
2010,2,Australian Grand Prix,albert_park,grassi,Virgin,24,\N,0.0,Hydraulics
2010,2,Australian Grand Prix,albert_park,vettel,Red Bull,1,\N,0.0,Wheel
2010,2,Australian Grand Prix,albert_park,sutil,Force India,10,\N,0.0,Engine
2010,2,Australian Grand Prix,albert_park,petrov,Renault,18,\N,0.0,Spun off
2010,2,Australian Grand Prix,albert_park,bruno_senna,HRT,21,\N,0.0,Hydraulics
2010,2,Australian Grand Prix,albert_park,buemi,Toro Rosso,12,\N,0.0,Collision
2010,2,Australian Grand Prix,albert_park,hulkenberg,Williams,15,\N,0.0,Collision
2010,2,Australian Grand Prix,albert_park,kobayashi,Sauber,16,\N,0.0,Collision
2010,2,Australian Grand Prix,albert_park,trulli,Lotus,20,\N,0.0,Hydraulics
2010,3,Malaysian Grand Prix,sepang,vettel,Red Bull,3,1,25.0,Finished
2010,3,Malaysian Grand Prix,sepang,webber,Red Bull,1,2,18.0,Finished
2010,3,Malaysian Grand Prix,sepang,rosberg,Mercedes,2,3,15.0,Finished
2010,3,Malaysian Grand Prix,sepang,kubica,Renault,6,4,12.0,Finished
2010,3,Malaysian Grand Prix,sepang,sutil,Force India,4,5,10.0,Finished
2010,3,Malaysian Grand Prix,sepang,hamilton,McLaren,20,6,8.0,Finished
2010,3,Malaysian Grand Prix,sepang,massa,Ferrari,21,7,6.0,Finished
2010,3,Malaysian Grand Prix,sepang,button,McLaren,17,8,4.0,Finished
2010,3,Malaysian Grand Prix,sepang,alguersuari,Toro Rosso,14,9,2.0,Finished
2010,3,Malaysian Grand Prix,sepang,hulkenberg,Williams,5,10,1.0,Finished
2010,3,Malaysian Grand Prix,sepang,buemi,Toro Rosso,13,11,0.0,Finished
2010,3,Malaysian Grand Prix,sepang,barrichello,Williams,7,12,0.0,+1 Lap
2010,3,Malaysian Grand Prix,sepang,alonso,Ferrari,19,13,0.0,Engine
2010,3,Malaysian Grand Prix,sepang,grassi,Virgin,24,14,0.0,+3 Laps
2010,3,Malaysian Grand Prix,sepang,chandhok,HRT,22,15,0.0,+3 Laps
2010,3,Malaysian Grand Prix,sepang,bruno_senna,HRT,23,16,0.0,+4 Laps
2010,3,Malaysian Grand Prix,sepang,trulli,Lotus,18,17,0.0,+5 Laps
2010,3,Malaysian Grand Prix,sepang,kovalainen,Lotus,15,\N,0.0,+10 Laps
2010,3,Malaysian Grand Prix,sepang,petrov,Renault,11,\N,0.0,Gearbox
2010,3,Malaysian Grand Prix,sepang,liuzzi,Force India,10,\N,0.0,Throttle
2010,3,Malaysian Grand Prix,sepang,michael_schumacher,Mercedes,8,\N,0.0,Wheel
